Area,Year,Value
Albania,2017,3.04
Albania,2018,3.13
Albania,2019,3.32
Albania,2020,3.4
Albania,2021,3.49
Albania,2022,4.14
Albania,2023,4.58
Albania,2024,4.77
Algeria,2017,4.1
Algeria,2018,4.16
Algeria,2019,4.18
Algeria,2020,4.19
Algeria,2021,4.47
Algeria,2022,5.01
Algeria,2023,5.41
Algeria,2024,5.53
Angola,2017,3.18
Angola,2018,3.27
Angola,2019,3.43
Angola,2020,3.7
Angola,2021,4.11
Angola,2022,4.55
Angola,2023,4.72
Angola,2024,5.0
Antigua and Barbuda,2017,3.77
Antigua and Barbuda,2018,4.24
Antigua and Barbuda,2019,4.38
Antigua and Barbuda,2020,4.67
Antigua and Barbuda,2021,4.92
Antigua and Barbuda,2022,5.46
Antigua and Barbuda,2023,5.8
Antigua and Barbuda,2024,5.9
Argentina,2017,3.26
Argentina,2018,
Argentina,2019,
Argentina,2020,
Argentina,2021,
Argentina,2022,
Argentina,2023,
Argentina,2024,
Armenia,2017,3.22
Armenia,2018,3.31
Armenia,2019,3.44
Armenia,2020,3.54
Armenia,2021,3.8
Armenia,2022,4.27
Armenia,2023,4.33
Armenia,2024,4.35
Aruba,2017,3.38
Aruba,2018,3.55
Aruba,2019,3.79
Aruba,2020,3.9
Aruba,2021,4.0
Aruba,2022,4.5
Aruba,2023,4.82
Aruba,2024,5.0
Australia,2017,2.33
Australia,2018,2.36
Australia,2019,2.4
Australia,2020,2.51
Australia,2021,2.61
Australia,2022,2.88
Australia,2023,3.1
Australia,2024,3.2
Austria,2017,2.06
Austria,2018,2.11
Austria,2019,2.19
Austria,2020,2.3
Austria,2021,2.42
Austria,2022,2.75
Austria,2023,2.91
Austria,2024,2.99
Azerbaijan,2017,2.9
Azerbaijan,2018,2.95
Azerbaijan,2019,3.1
Azerbaijan,2020,3.28
Azerbaijan,2021,3.44
Azerbaijan,2022,3.92
Azerbaijan,2023,4.13
Azerbaijan,2024,4.2
Bahamas,2017,4.2
Bahamas,2018,4.23
Bahamas,2019,4.12
Bahamas,2020,4.19
Bahamas,2021,4.28
Bahamas,2022,4.96
Bahamas,2023,5.25
