Area,Year,ValueTotal
Albania,2017,2898242.0
Albania,2018,2894231.0
Albania,2019,2885010.0
Albania,2020,2871954.0
Albania,2021,2849635.0
Albania,2022,2827608.0
Albania,2023,2811655.0
Algeria,2017,41689299.0
Algeria,2018,42505035.0
Algeria,2019,43294546.0
Algeria,2020,44042091.0
Algeria,2021,44761099.0
Algeria,2022,45477389.0
Algeria,2023,46164219.0
Angola,2017,30234839.0
Angola,2018,31297155.0
Angola,2019,32375632.0
Angola,2020,33451131.999999996
Angola,2021,34532429.0
Angola,2022,35635029.0
Angola,2023,36749906.0
Antigua and Barbuda,2017,90468.0
Antigua and Barbuda,2018,90926.0
Antigua and Barbuda,2019,91364.0
Antigua and Barbuda,2020,91846.0
Antigua and Barbuda,2021,92349.0
Antigua and Barbuda,2022,92840.0
Antigua and Barbuda,2023,93316.0
Argentina,2017,44288894.0
Argentina,2018,44654882.0
Argentina,2019,44973465.0
Argentina,2020,45191964.0
Argentina,2021,45312281.0
Argentina,2022,45407904.0
Argentina,2023,45538401.0
Armenia,2017,2914963.0
Armenia,2018,2909965.0
Armenia,2019,2903972.0
Armenia,2020,2890892.0
Armenia,2021,2870349.0
Armenia,2022,2880874.0
Armenia,2023,2943393.0
Australia,2017,24731038.0
Australia,2018,25119706.0
Australia,2019,25482714.0
Australia,2020,25743791.0
Australia,2021,25956418.0
Australia,2022,26200984.0
Australia,2023,26451124.0
Austria,2017,8798778.0
Austria,2018,8841650.0
Austria,2019,8880876.0
Austria,2020,8921405.0
Austria,2021,8967057.0
Austria,2022,9064677.0
Austria,2023,9130429.0
Azerbaijan,2017,9968510.0
Azerbaijan,2018,10039784.0
Azerbaijan,2019,10110475.0
Azerbaijan,2020,10181730.0
Azerbaijan,2021,10234371.0
Azerbaijan,2022,10295304.0
Azerbaijan,2023,10318207.0
Bahrain,2017,1481995.0
Bahrain,2018,1497626.0
Bahrain,2019,1485670.0
Bahrain,2020,1483077.0
Bahrain,2021,1501764.0
Bahrain,2022,1533459.0
Bahrain,2023,1569666.0
Bangladesh,2017,162186147.0
Bangladesh,2018,163523103.0
Bangladesh,2019,164913055.0
Bangladesh,2020,166298024.0
