Area,Item,Year,Value
Albania,Agriculture,2017,2366603000
Albania,Agriculture,2018,2500919000
Albania,Agriculture,2019,2555912000
Albania,Agriculture,2020,2598882000
Albania,Agriculture,2021,2914014000
Albania,Agriculture,2022,2987714000
Albania,Agriculture,2023,3624186000
Albania,"Cereals, primary",2017,197371000
Albania,"Cereals, primary",2018,204071000
Albania,"Cereals, primary",2019,189744000
Albania,"Cereals, primary",2020,199300000
Albania,"Cereals, primary",2021,245217000
Albania,"Cereals, primary",2022,301149000
Albania,"Cereals, primary",2023,278572000
Albania,Crops,2017,1346903000
Albania,Crops,2018,1332081000
Albania,Crops,2019,1451370000
Albania,Crops,2020,1462407000
Albania,Crops,2021,1719476000
Albania,Crops,2022,1822302000
Albania,Crops,2023,2262921000
Albania,"Meat indigenous, total",2017,363959000
Albania,"Meat indigenous, total",2018,464930000
Albania,"Meat indigenous, total",2019,395129000
Albania,"Meat indigenous, total",2020,399502000
Albania,"Meat indigenous, total",2021,411351000
Albania,"Meat indigenous, total",2022,259524000
Albania,"Meat indigenous, total",2023,298863000
Albania,"Milk, Total",2017,455210000
Albania,"Milk, Total",2018,479039000
Albania,"Milk, Total",2019,468688000
Albania,"Milk, Total",2020,487619000
Albania,"Milk, Total",2021,503332000
Albania,"Milk, Total",2022,576151000
Albania,"Milk, Total",2023,739759000
Albania,"Roots and Tubers, Total",2017,70363000
Albania,"Roots and Tubers, Total",2018,78698000
Albania,"Roots and Tubers, Total",2019,108904000
Albania,"Roots and Tubers, Total",2020,81711000
Albania,"Roots and Tubers, Total",2021,111383000
Albania,"Roots and Tubers, Total",2022,120949000
Albania,"Roots and Tubers, Total",2023,161652000
Albania,Sugar Crops Primary,2017,1368000
Albania,Sugar Crops Primary,2018,1281000
Albania,Sugar Crops Primary,2019,1325000
Albania,Sugar Crops Primary,2020,1568000
Albania,Sugar Crops Primary,2021,1113000
Albania,Sugar Crops Primary,2022,1066000
Albania,Sugar Crops Primary,2023,1182000
Albania,Vegetables and Fruit Primary,2017,807317000
Albania,Vegetables and Fruit Primary,2018,811258000
Albania,Vegetables and Fruit Primary,2019,861626000
Albania,Vegetables and Fruit Primary,2020,923293000
Albania,Vegetables and Fruit Primary,2021,1092176000
Albania,Vegetables and Fruit Primary,2022,1119728000
Albania,Vegetables and Fruit Primary,2023,1481274000
Algeria,Agriculture,2017,22983197000
Algeria,Agriculture,2018,23286221000
Algeria,Agriculture,2019,24092829000
Algeria,Agriculture,2020,23302030000
Algeria,Agriculture,2021,22417701000
Algeria,Agriculture,2022,22315023000
Algeria,Agriculture,2023,27927931000
Algeria,"Cereals, primary",2017,1217056000
Algeria,"Cereals, primary",2018,1974323000
Algeria,"Cereals, primary",2019,1822036000
Algeria,"Cereals, primary",2020,1351574000
Algeria,"Cereals, primary",2021,833749000
Algeria,"Cereals, primary",2022,1128236000
Algeria,"Cereals, primary",2023,1023154000
Algeria,Crops,2017,15500986000
Algeria,Crops,2018,15797036000
Algeria,Crops,2019,16726841000
Algeria,Crops,2020,16159115000
Algeria,Crops,2021,15401196000
Algeria,Crops,2022,15737814000
Algeria,Crops,2023,19362324000
Algeria,"Meat indigenous, total",2017,5459512000
Algeria,"Meat indigenous, total",2018,5685996000
Algeria,"Meat indigenous, total",2019,5551938000
Algeria,"Meat indigenous, total",2020,5382610000
Algeria,"Meat indigenous, total",2021,5324446000
Algeria,"Meat indigenous, total",2022,4914675000
Algeria,"Meat indigenous, total",2023,6843527000
Algeria,"Milk, Total",2017,1375608000
Algeria,"Milk, Total",2018,1258814000
Algeria,"Milk, Total",2019,1276891000
Algeria,"Milk, Total",2020,1228284000
Algeria,"Milk, Total",2021,1166975000
Algeria,"Milk, Total",2022,1144111000
Algeria,"Milk, Total",2023,1190289000
Algeria,"Roots and Tubers, Total",2017,1867915000
Algeria,"Roots and Tubers, Total",2018,1756064000
Algeria,"Roots and Tubers, Total",2019,1640418000
Algeria,"Roots and Tubers, Total",2020,1261046000
Algeria,"Roots and Tubers, Total",2021,1770382000
Algeria,"Roots and Tubers, Total",2022,1454444000
Algeria,"Roots and Tubers, Total",2023,1913022000
Algeria,Vegetables and Fruit Primary,2017,12009511000
Algeria,Vegetables and Fruit Primary,2018,11588516000
Algeria,Vegetables and Fruit Primary,2019,12769939000
Algeria,Vegetables and Fruit Primary,2020,13048194000
Algeria,Vegetables and Fruit Primary,2021,12450194000
Algeria,Vegetables and Fruit Primary,2022,12770727000
Algeria,Vegetables and Fruit Primary,2023,15964287000
Angola,Agriculture,2017,4402925000
Angola,Agriculture,2018,3413491000
Angola,Agriculture,2019,2476464000
Angola,Agriculture,2020,1694329000
Angola,Agriculture,2021,1627580000
Angola,Agriculture,2022,2441219000
Angola,Agriculture,2023,1712343000
Angola,"Cereals, primary",2017,599590000
Angola,"Cereals, primary",2018,497519000
Angola,"Cereals, primary",2019,352795000
Angola,"Cereals, primary",2020,236628000
Angola,"Cereals, primary",2021,217027000
Angola,"Cereals, primary",2022,310578000
Angola,"Cereals, primary",2023,212583000
Angola,Crops,2017,4335214000
Angola,Crops,2018,3368526000
Angola,Crops,2019,2444871000
Angola,Crops,2020,1673506000
Angola,Crops,2021,1608223000
Angola,Crops,2022,2414154000
Angola,Crops,2023,1693628000
Angola,"Milk, Total",2017,67712000
Angola,"Milk, Total",2018,44964000
Angola,"Milk, Total",2019,31592000
Angola,"Milk, Total",2020,20824000
Angola,"Milk, Total",2021,19357000
Angola,"Milk, Total",2022,27065000
Angola,"Milk, Total",2023,18715000
Angola,"Roots and Tubers, Total",2017,1586553000
Angola,"Roots and Tubers, Total",2018,1332349000
Angola,"Roots and Tubers, Total",2019,958943000
Angola,"Roots and Tubers, Total",2020,653630000
Angola,"Roots and Tubers, Total",2021,626835000
Angola,"Roots and Tubers, Total",2022,936992000
Angola,"Roots and Tubers, Total",2023,600347000
Angola,Vegetables and Fruit Primary,2017,1716202000
Angola,Vegetables and Fruit Primary,2018,1232281000
Angola,Vegetables and Fruit Primary,2019,922682000
Angola,Vegetables and Fruit Primary,2020,642320000
Angola,Vegetables and Fruit Primary,2021,636391000
Angola,Vegetables and Fruit Primary,2022,982611000
Angola,Vegetables and Fruit Primary,2023,756827000
Antigua and Barbuda,Agriculture,2017,19187000
Antigua and Barbuda,Agriculture,2018,17025000
Antigua and Barbuda,Agriculture,2019,15643000
Antigua and Barbuda,Agriculture,2020,15463000
Antigua and Barbuda,Agriculture,2021,17610000
Antigua and Barbuda,Agriculture,2022,21422000
Antigua and Barbuda,Agriculture,2023,20671000
Antigua and Barbuda,"Cereals, primary",2017,83000
Antigua and Barbuda,"Cereals, primary",2018,62000
Antigua and Barbuda,"Cereals, primary",2019,89000
Antigua and Barbuda,"Cereals, primary",2020,81000
Antigua and Barbuda,"Cereals, primary",2021,114000
Antigua and Barbuda,"Cereals, primary",2022,170000
Antigua and Barbuda,"Cereals, primary",2023,172000
Antigua and Barbuda,Crops,2017,9929000
Antigua and Barbuda,Crops,2018,8688000
Antigua and Barbuda,Crops,2019,7728000
Antigua and Barbuda,Crops,2020,6829000
Antigua and Barbuda,Crops,2021,9172000
Antigua and Barbuda,Crops,2022,8476000
Antigua and Barbuda,Crops,2023,11615000
Antigua and Barbuda,"Meat indigenous, total",2017,1398000
Antigua and Barbuda,"Meat indigenous, total",2018,769000
Antigua and Barbuda,"Meat indigenous, total",2019,758000
Antigua and Barbuda,"Meat indigenous, total",2020,799000
Antigua and Barbuda,"Meat indigenous, total",2021,756000
Antigua and Barbuda,"Meat indigenous, total",2022,1104000
Antigua and Barbuda,"Meat indigenous, total",2023,566000
Antigua and Barbuda,"Milk, Total",2017,6357000
Antigua and Barbuda,"Milk, Total",2018,5185000
Antigua and Barbuda,"Milk, Total",2019,4887000
Antigua and Barbuda,"Milk, Total",2020,4920000
Antigua and Barbuda,"Milk, Total",2021,4875000
